company_name,company_name_ch,company_number,company_category,country_of_origin,incorporated,uri,primary_node,node_label,chain_position,secondary_node,review_needed,review_reason,sic_codes_full,matched_sic_code,matched_sic_text,sic_confidence,sic_tier,sic_source,oecd_activity_category,requires_defence_check,website,description,location_hint,ukspacetech_category,address_line1,address_line2,post_town,county,country,postcode,source_ch,source_uksd,source_scc,source_esa,source_website,supply_hierarchy,defence_primary,space_peripheral,ch_verified,notes,data_collection_date,extraction_source,match_type,confidence_level,primary_node_original,review_status,defence_review_status,is_shell,ch_name,ch_status,ch_type,ch_sic_codes,ch_postcode,ch_locality,ch_region,ch_country,ch_incorporated,pipeline_status,pipeline_reason,pipeline_date,ukspace_category,ukspace_profile_url,source_ukspace,space_probability,ml_classification_date,ml_version,classification_reason
ProtoLaunch,PROTOLAUNCH LTD,11804963,Private Limited Company,United Kingdom,04/02/2019,http://business.data.gov.uk/id/company/11804963,N2,Subsystems and Payloads,Upstream,,Yes,"Most firms are N2 (propulsion subsystem manufacturers). One exception: European Astrotech is N2 primary (propulsion, propellant chemistry) with N5 secondary (launch-site fuelling services — directly supports launch operations). Magdrive, ProtoLaunch, Pulsar Fusion, SteamJet: N2 only. Review European Astrotech to assign N5 as secondary node.",30300 - Manufacture of air and spacecraft and related machinery | nan | nan | nan,30300.0,30300 - Manufacture of air and spacecraft and related machinery,High,Tier 1,ONS SIC 2007 index: space shuttles (manufacture),Supply of components and equipment for space systems,Yes,https://protolaunch.co.uk,Westcott-based developer of water-electrolysis thrusters and throttling control valves for in-space propulsion.,Westcott,Propulsion,26 ADDENBROOKES ROAD,TRUMPINGTON,CAMBRIDGE,,ENGLAND,CB2 9AZ,Yes,Yes,,,Yes,,No,,,Matched: Source 1 (exact) + Source 2 (ukspacetech). Node from Source 2. Address from Source 1. | Defence review: Rocket propulsion startup developing novel thermodynamic cycle chemical engines for small payload launchers without turbomachinery.,2026-07-23,CH_BULK+UKSPACETECH,exact,High,,Reviewed,Manually reviewed,No,,,,,,,,,,,,,,,,,,,
Pulsar Fusion,FUSION GROUP LIMITED,03563691,Private Limited Company,United Kingdom,14/05/1998,http://business.data.gov.uk/id/company/03563691,N2,Subsystems and Payloads,Upstream,,Yes,"Most firms are N2 (propulsion subsystem manufacturers). One exception: European Astrotech is N2 primary (propulsion, propellant chemistry) with N5 secondary (launch-site fuelling services — directly supports launch operations). Magdrive, ProtoLaunch, Pulsar Fusion, SteamJet: N2 only. Review European Astrotech to assign N5 as secondary node.","74909 - Other professional, scientific and technical activities n.e.c. | nan | nan | nan",74909.0,"74909 - Other professional, scientific and technical activities n.e.c.",Low,Tier 3,"OECD/BEA/ESA/Eurostat/JRC (2023) Table 4: NACE 74.90 other professional, scientific and technical activities — CPA 74.90.13 environmental consulting, CPA 74.90.14 weather forecasting and meteorological services.",Supply of components and equipment for space systems,No,https://pulsarfusion.com,Bletchley-based developer of fusion-electric and hybrid propulsion for deep-space missions.,Bletchley,Propulsion,SMECKLEY WOOD CLOSE,CHESTERFIELD TRADING ESTATE,CHESTERFIELD,DERBYSHIRE,,S41 9PZ,Yes,Yes,,,Yes,,Partial,,,"Matched: Source 1 (partial) + Source 2 (ukspacetech). Node from Source 2. Address from Source 1. | Defence review: Space propulsion company developing hybrid chemical rockets, electric Hall Effect thrusters, and direct-fusion propulsion systems (Sunbird) for deep space and satellite applications.",2026-07-23,CH_BULK+UKSPACETECH,partial,High,,Reviewed,Manually reviewed,No,,,,,,,,,,,,,,,,,,,
SteamJet,STEAMJET SPACE SYSTEMS LIMITED,10948228,Private Limited Company,United Kingdom,06/09/2017,http://business.data.gov.uk/id/company/10948228,N2,Subsystems and Payloads,Upstream,,Yes,"Most firms are N2 (propulsion subsystem manufacturers). One exception: European Astrotech is N2 primary (propulsion, propellant chemistry) with N5 secondary (launch-site fuelling services — directly supports launch operations). Magdrive, ProtoLaunch, Pulsar Fusion, SteamJet: N2 only. Review European Astrotech to assign N5 as secondary node.",71200 - Technical testing and analysis | 72190 - Other research and experimental development on natural sciences and engineering | nan | nan,71200.0,71200 - Technical testing and analysis,Medium,Tier 3,"OECD/BEA/ESA/Eurostat/JRC (2023) Table 1: technical testing and analysis (ISIC 71) explicitly listed under ""Research and development services, engineering services (testing, design)"". Table 4: NACE 71.20 not listed separately but covered under 71.12.",Supply of components and equipment for space systems,No,https://steamjet.space,Birmingham-based developer of water-based propulsion for CubeSats and smallsats.,Birmingham,Propulsion,ALPHA WORKS ALPHA TOWER,SUFFOLK STREET QUEENSWAY,BIRMINGHAM,WEST MIDLANDS,ENGLAND,B1 1TT,Yes,Yes,,,Yes,,No,,,"Matched: Source 1 (partial) + Source 2 (ukspacetech). Node from Source 2. Address from Source 1. | Defence review: Manufactures water-powered electrothermal resistojet thrusters (TunaCan, TunaTank) for CubeSat station-keeping and de-orbiting.",2026-07-23,CH_BULK+UKSPACETECH,partial,High,,Reviewed,Manually reviewed,No,,,,,,,,,,,,,,,,,,,
AST SpaceMobile,AST SPACEMOBILE UK LIMITED,12641573,Private Limited Company,United Kingdom,03/06/2020,http://business.data.gov.uk/id/company/12641573,N3,Satellite Operations,Upstream,N6,Yes,"Primary node corrected from N8 to N6: firms in this category operate satellite constellations, which by your node definition is N6 (Satellite Operations), not N8 (Applications and Services). N8 applies to the end-user service built on those satellites. Most firms here span N6 (operates satellites) and N8 (provides comms services to customers): Avanti Communications, Inmarsat, Lacuna Space, OneWeb, Viasat UK. AST SpaceMobile is N3 primary (developing and building its satellite network) with N8 secondary (cellular broadband service). Two firms are N8 only — they resell services using third-party satellites and do not operate their own: SatCom Global (VSAT and airtime distributor), Wyld Networks UK (satellite IoT connectivity service). Review each firm description to assign primary and secondary nodes.",61300 - Satellite telecommunications activities | nan | nan | nan,61300.0,61300 - Satellite telecommunications activities,High,Tier 1,"ONS SIC 2007 index: satellite circuit rental services, telecommunications satellite relay station. Also confirmed by OECD/BEA/ESA/Eurostat/JRC (2023) Table 4: satellite telecommunications activities.",Operation of space systems / downstream satcoms,No,https://ast-science.com,Developer of a space-based cellular broadband network accessible directly by standard smartphones.,Developer of a space,SatCom Operators,ONE,BELL LANE,LEWES,EAST SUSSEX,ENGLAND,BN7 1JU,Yes,Yes,,,Yes,,No,,,Matched: Source 1 (exact) + Source 2 (ukspacetech). Node from Source 2. Address from Source 1. | Defence review: Building the BlueBird space-based cellular broadband network (N8) to connect directly to standard unmodified smartphones.,2026-07-23,CH_BULK+UKSPACETECH,exact,High,N6,Reviewed,Manually reviewed,No,,,,,,,,,,,,,,,,,,,
Avanti Communications,AVANTI COMMUNICATIONS INFRASTRUCTURE LIMITED,05316577,Private Limited Company,United Kingdom,20/12/2004,http://business.data.gov.uk/id/company/05316577,N8,Satellite Operations,Downstream,N6,Yes,"Primary node corrected from N8 to N6: firms in this category operate satellite constellations, which by your node definition is N6 (Satellite Operations), not N8 (Applications and Services). N8 applies to the end-user service built on those satellites. Most firms here span N6 (operates satellites) and N8 (provides comms services to customers): Avanti Communications, Inmarsat, Lacuna Space, OneWeb, Viasat UK. AST SpaceMobile is N3 primary (developing and building its satellite network) with N8 secondary (cellular broadband service). Two firms are N8 only — they resell services using third-party satellites and do not operate their own: SatCom Global (VSAT and airtime distributor), Wyld Networks UK (satellite IoT connectivity service). Review each firm description to assign primary and secondary nodes.",70229 - Management consultancy activities other than financial management | nan | nan | nan,70229.0,70229 - Management consultancy activities other than financial management,Low,Tier 3,"OECD/BEA/ESA/Eurostat/JRC (2023) Table 4: NACE 70.22 business and other management consultancy — listed under professional, scientific and technical services for space.",Operation of space systems / downstream satcoms,No,https://avantiplc.com,"Provider of Ka-band satellite communications across Europe, the Middle East, and Africa via the HYLAS fleet.",,SatCom Operators,PRIORY HOUSE,6 WRIGHTS LANE,LONDON,,UNITED KINGDOM,W8 6TA,Yes,Yes,,,Yes,,Partial,,,"Matched: Source 1 (partial) + Source 2 (ukspacetech). Node from Source 2. Address from Source 1. | Defence review: Owns and operates HYLAS Ka-band fleet (N6/N4) to provide managed satcoms, mobile backhaul, and secure defence communications services (N8).",2026-07-23,CH_BULK+UKSPACETECH,partial,High,N6,Reviewed,Manually reviewed,No,,,,,,,,,,,,,,,,,,,
Inmarsat,INMARSAT HOLDINGS LIMITED,04917504,Private Limited Company,United Kingdom,01/10/2003,http://business.data.gov.uk/id/company/04917504,N8,Satellite Operations,Downstream,N6,Yes,"Primary node corrected from N8 to N6: firms in this category operate satellite constellations, which by your node definition is N6 (Satellite Operations), not N8 (Applications and Services). N8 applies to the end-user service built on those satellites. Most firms here span N6 (operates satellites) and N8 (provides comms services to customers): Avanti Communications, Inmarsat, Lacuna Space, OneWeb, Viasat UK. AST SpaceMobile is N3 primary (developing and building its satellite network) with N8 secondary (cellular broadband service). Two firms are N8 only — they resell services using third-party satellites and do not operate their own: SatCom Global (VSAT and airtime distributor), Wyld Networks UK (satellite IoT connectivity service). Review each firm description to assign primary and secondary nodes.",61300 - Satellite telecommunications activities | nan | nan | nan,61300.0,61300 - Satellite telecommunications activities,High,Tier 1,"ONS SIC 2007 index: satellite circuit rental services, telecommunications satellite relay station. Also confirmed by OECD/BEA/ESA/Eurostat/JRC (2023) Table 4: satellite telecommunications activities.",Operation of space systems / downstream satcoms,No,https://inmarsat.com,"Provider of global mobile satellite communications, operating as Inmarsat Maritime within Viasat.",,SatCom Operators,50 FINSBURY SQUARE,,LONDON,,ENGLAND,EC2A 1HD,Yes,Yes,,,Yes,,Partial,,,"Matched: Source 1 (exact) + Source 2 (ukspacetech). Node from Source 2. Address from Source 1. | Defence review: Global mobile satellite communications provider offering maritime, aviation, government, and enterprise broadband/voice services (N8). Owns and operates the Inmarsat GEO fleet (N6) and global Satellite Access Station ground network (N4).",2026-07-23,CH_BULK+UKSPACETECH,exact,High,N6,Reviewed,Manually reviewed,No,,,,,,,,,,,,,,,,,,,
Lacuna Space,LACUNA SPACE LTD.,10367942,Private Limited Company,United Kingdom,09/09/2016,http://business.data.gov.uk/id/company/10367942,N6,Satellite Operations,Downstream,N8,Yes,"Primary node corrected from N8 to N6: firms in this category operate satellite constellations, which by your node definition is N6 (Satellite Operations), not N8 (Applications and Services). N8 applies to the end-user service built on those satellites. Most firms here span N6 (operates satellites) and N8 (provides comms services to customers): Avanti Communications, Inmarsat, Lacuna Space, OneWeb, Viasat UK. AST SpaceMobile is N3 primary (developing and building its satellite network) with N8 secondary (cellular broadband service). Two firms are N8 only — they resell services using third-party satellites and do not operate their own: SatCom Global (VSAT and airtime distributor), Wyld Networks UK (satellite IoT connectivity service). Review each firm description to assign primary and secondary nodes.",61300 - Satellite telecommunications activities | nan | nan | nan,61300.0,61300 - Satellite telecommunications activities,High,Tier 1,"ONS SIC 2007 index: satellite circuit rental services, telecommunications satellite relay station. Also confirmed by OECD/BEA/ESA/Eurostat/JRC (2023) Table 4: satellite telecommunications activities.",Operation of space systems / downstream satcoms,No,https://lacuna-space.com,Harwell-based IoT-over-satellite operator using small satellites and open LoRaWAN standards.,Harwell,SatCom Operators,"R27, RUTHERFORD APPLETON LABORATORY",HARWELL CAMPUS,DIDCOT,,ENGLAND,OX11 0QX,Yes,Yes,,,Yes,,No,,,Matched: Source 1 (exact) + Source 2 (ukspacetech). Node from Source 2. Address from Source 1. | Defence review: Provides global satellite IoT (Internet of Things) tracking and messaging services using low-power LoRaWAN space payloads.,2026-07-23,CH_BULK+UKSPACETECH,exact,High,,Reviewed,Manually reviewed,No,,,,,,,,,,,,,,,,,,,
OneWeb,,,,,,,N8,Satellite Operations,Downstream,N6,Yes,"Primary node corrected from N8 to N6: firms in this category operate satellite constellations, which by your node definition is N6 (Satellite Operations), not N8 (Applications and Services). N8 applies to the end-user service built on those satellites. Most firms here span N6 (operates satellites) and N8 (provides comms services to customers): Avanti Communications, Inmarsat, Lacuna Space, OneWeb, Viasat UK. AST SpaceMobile is N3 primary (developing and building its satellite network) with N8 secondary (cellular broadband service). Two firms are N8 only — they resell services using third-party satellites and do not operate their own: SatCom Global (VSAT and airtime distributor), Wyld Networks UK (satellite IoT connectivity service). Review each firm description to assign primary and secondary nodes.",,,,,,,Operation of space systems / downstream satcoms,,https://oneweb.net,"Operator of a low-Earth-orbit satellite constellation delivering global high-speed, low-latency broadband, now part of the unified Eutelsat brand.",,SatCom Operators,,,,,United Kingdom,,No,Yes,,,Yes,,Partial,,,"Source 2 only (ukspacetech). Not found in CH Bulk — may use different legal name. CH number to be found at Stage 3 via API search. | Defence review: LEO satellite constellation operator delivering global satellite broadband, connectivity services, and enterprise telecom solutions.",2026-07-23,UKSPACETECH,no_match,Medium,N6,Reviewed,Manually reviewed,No,,,,,,,,,,,,,,,,,,,
SatCom Global,SATCOM GLOBAL LIMITED,05208041,Private Limited Company,United Kingdom,17/08/2004,http://business.data.gov.uk/id/company/05208041,N8,Satellite Operations,Downstream,N6,Yes,"Primary node corrected from N8 to N6: firms in this category operate satellite constellations, which by your node definition is N6 (Satellite Operations), not N8 (Applications and Services). N8 applies to the end-user service built on those satellites. Most firms here span N6 (operates satellites) and N8 (provides comms services to customers): Avanti Communications, Inmarsat, Lacuna Space, OneWeb, Viasat UK. AST SpaceMobile is N3 primary (developing and building its satellite network) with N8 secondary (cellular broadband service). Two firms are N8 only — they resell services using third-party satellites and do not operate their own: SatCom Global (VSAT and airtime distributor), Wyld Networks UK (satellite IoT connectivity service). Review each firm description to assign primary and secondary nodes.",61300 - Satellite telecommunications activities | nan | nan | nan,61300.0,61300 - Satellite telecommunications activities,High,Tier 1,"ONS SIC 2007 index: satellite circuit rental services, telecommunications satellite relay station. Also confirmed by OECD/BEA/ESA/Eurostat/JRC (2023) Table 4: satellite telecommunications activities.",Operation of space systems / downstream satcoms,No,https://satcomglobal.com,"Distributor of satellite communications services — VSAT, airtime, and satellite phones — for organisations operating in remote environments.",,SatCom Operators,AND GROUP LTD,TANNERS BANK,NORTH SHIELDS,TYNE & WEAR,,NE30 1JH,Yes,Yes,,,Yes,,No,,,"Matched: Source 1 (exact) + Source 2 (ukspacetech). Node from Source 2. Address from Source 1. | Defence review: Leading provider of global satellite communications services including VSAT to the maritime, land and aero markets - provides satellite airtime and hardware. Pure service reseller - does not operate own satellites. No defence primary signals.",2026-07-23,CH_BULK+UKSPACETECH,exact,High,N6,Reviewed,Manually reviewed,No,,,,,,,,,,,,,,,,,,,
Viasat UK,VIASAT COMMUNICATIONS UK LIMITED,13063808,Private Limited Company,United Kingdom,06/12/2020,http://business.data.gov.uk/id/company/13063808,N6,Satellite Operations,Downstream,N8,Yes,"Primary node corrected from N8 to N6: firms in this category operate satellite constellations, which by your node definition is N6 (Satellite Operations), not N8 (Applications and Services). N8 applies to the end-user service built on those satellites. Most firms here span N6 (operates satellites) and N8 (provides comms services to customers): Avanti Communications, Inmarsat, Lacuna Space, OneWeb, Viasat UK. AST SpaceMobile is N3 primary (developing and building its satellite network) with N8 secondary (cellular broadband service). Two firms are N8 only — they resell services using third-party satellites and do not operate their own: SatCom Global (VSAT and airtime distributor), Wyld Networks UK (satellite IoT connectivity service). Review each firm description to assign primary and secondary nodes.",61900 - Other telecommunications activities | nan | nan | nan,61900.0,61900 - Other telecommunications activities,Medium,Tier 3,OECD/BEA/ESA/Eurostat/JRC (2023) Table 4: NACE 61.90 other telecommunications — CPA 61.90.10 includes satellite tracking services.,Operation of space systems / downstream satcoms,No,https://viasat.com,"Provider of satellite broadband and secure networking across aviation, maritime, enterprise, and government and defence markets.",,SatCom Operators,50 FINSBURY SQUARE,,LONDON,,ENGLAND,EC2A 1HD,Yes,Yes,,,Yes,,Partial,,,"Matched: Source 1 (partial) + Source 2 (ukspacetech). Node from Source 2. Address from Source 1. | Defence review: Global satcom prime providing high-capacity broadband, tactical datalinks, and secure satellite communications across civil, commercial, and national security domains.",2026-07-23,CH_BULK+UKSPACETECH,partial,High,,Reviewed,Manually reviewed,No,,,,,,,,,,,,,,,,,,,
Wyld Networks UK,NETWORK INC LIMITED,14208656,Private Limited Company,United Kingdom,01/07/2022,http://business.data.gov.uk/id/company/14208656,N8,Satellite Operations,Downstream,,Yes,"Primary node corrected from N8 to N6: firms in this category operate satellite constellations, which by your node definition is N6 (Satellite Operations), not N8 (Applications and Services). N8 applies to the end-user service built on those satellites. Most firms here span N6 (operates satellites) and N8 (provides comms services to customers): Avanti Communications, Inmarsat, Lacuna Space, OneWeb, Viasat UK. AST SpaceMobile is N3 primary (developing and building its satellite network) with N8 secondary (cellular broadband service). Two firms are N8 only — they resell services using third-party satellites and do not operate their own: SatCom Global (VSAT and airtime distributor), Wyld Networks UK (satellite IoT connectivity service). Review each firm description to assign primary and secondary nodes.",71121 - Engineering design activities for industrial process and production | 71122 - Engineering related scientific and technical consulting activities | 71129 - Other engineering activities | 82990 - Other business support service activities n.e.c.,71121.0,71121 - Engineering design activities for industrial process and production,Low,Tier 3,OECD/BEA/ESA/Eurostat/JRC (2023) Table 4: NACE 71.12 engineering activities and related technical consultancy — CPA 71.12.17 engineering services for industrial and manufacturing projects (includes space vehicles). CPA 71.12.18 engineering services for telecommunications and broadcasting projects.,Operation of space systems / downstream satcoms,No,https://wyldnetworks.com,Cambridge-based UK subsidiary providing satellite IoT connectivity using LoRa over LEO via the Wyld Connect platform.,Cambridge,SatCom Operators,10 BAKER STREET,,POTTERS BAR,,ENGLAND,EN6 2EA,Yes,Yes,,,Yes,,No,,,"Matched: Source 1 (partial) + Source 2 (ukspacetech). Node from Source 2. Address from Source 1. | Defence review: Develops satellite IoT connectivity software and sensor-to-satellite protocols targeting agriculture, energy, and supply chain tracking.",2026-07-23,CH_BULK+UKSPACETECH,partial,High,N6,Reviewed,Manually reviewed,No,,,,,,,,,,,,,,,,,,,
Albora Technologies,TECHNO GROUP LIMITED,01338534,Private Limited Company,United Kingdom,14/11/1977,http://business.data.gov.uk/id/company/01338534,N7,Data Processing and Analytics,Downstream,N8,Yes,"Category spans three nodes. N7 (data processing, algorithm development, analytics platforms): ARGANS, Assimila, Earth Blox, Earth-i, Earthwave, isardSAT, Pixalytics. N8 (end-user applications built on EO data): Asterra, ChAI, Climate X, Ecometrica, Gentian, Geospatial Insight, Hummingbird Technologies, McKenzie Intelligence, Omanos Analytics, OpenWeather, PlanetWatchers, PowerMarket, Resilience Constellation, Rezatec, Satsense, Spottitt, Sylvera, Terrabotics. Additionally four firms operate their own satellite constellations making them N6 primary with N7 secondary: ICEYE (operates SAR constellation), Satellite Vu (operates HotSat thermal EO constellation), Spire Global (operates LEO constellation for weather/AIS/ADS-B), Horizon Technologies (operates AMBER constellation for MDA). Albora Technologies is N8 (geolocation service — end-user). Review every firm description individually to assign node.",25620 - Machining | nan | nan | nan,25620.0,25620 - Machining,Low,Tier 3,"OECD/BEA/ESA/Eurostat/JRC (2023) Table 4: NACE 25.62 machining — CPA 25.62.10 turning services of metal parts, 25.62.20 other machining services.",Downstream services for earth observation,No,https://albora.io,London-based high-precision geolocation provider delivering accurate positioning in challenging urban and infrastructure environments.,London,Earth Observation & Geospatial,UNIT 3A ROMAN WAY,GLEBE FARM INDUSTRIAL ESTATE,RUGBY,WARWICKSHIRE,,CV21 1DB,Yes,Yes,,,Yes,,Partial,,,"Matched: Source 1 (partial) + Source 2 (ukspacetech). Node from Source 2. Address from Source 1. | Defence review: Develops software-based, high-accuracy GNSS geolocation algorithms (ALCORE) and resilient positioning services for industrial, autonomous, and defence assets.",2026-07-23,CH_BULK+UKSPACETECH,partial,High,N7,Reviewed,Manually reviewed,No,,,,,,,,,,,,,,,,,,,
ARGANS,ARGANS LIMITED,06313966,Private Limited Company,United Kingdom,16/07/2007,http://business.data.gov.uk/id/company/06313966,N7,Data Processing and Analytics,Downstream,N4,Yes,"Category spans three nodes. N7 (data processing, algorithm development, analytics platforms): ARGANS, Assimila, Earth Blox, Earth-i, Earthwave, isardSAT, Pixalytics. N8 (end-user applications built on EO data): Asterra, ChAI, Climate X, Ecometrica, Gentian, Geospatial Insight, Hummingbird Technologies, McKenzie Intelligence, Omanos Analytics, OpenWeather, PlanetWatchers, PowerMarket, Resilience Constellation, Rezatec, Satsense, Spottitt, Sylvera, Terrabotics. Additionally four firms operate their own satellite constellations making them N6 primary with N7 secondary: ICEYE (operates SAR constellation), Satellite Vu (operates HotSat thermal EO constellation), Spire Global (operates LEO constellation for weather/AIS/ADS-B), Horizon Technologies (operates AMBER constellation for MDA). Albora Technologies is N8 (geolocation service — end-user). Review every firm description individually to assign node.",72190 - Other research and experimental development on natural sciences and engineering | nan | nan | nan,72190.0,72190 - Other research and experimental development on natural sciences and engineering,Medium,Tier 3,OECD/BEA/ESA/Eurostat/JRC (2023) Table 4: NACE 72.19 other R&D on natural sciences and engineering — CPA 72.19.13 research in physical sciences including space research.,Downstream services for earth observation,No,https://argans.co.uk,"Plymouth-based Earth observation specialist developing satellite data processing algorithms and ground-segment software for marine, coastal, and atmospheric applications.",Plymouth,Earth Observation & Geospatial,PLYMOUTH SCIENCE PARK,1 DAVY ROAD,PLYMOUTH,DEVON,,PL6 8BX,Yes,Yes,,,Yes,,No,,,"Matched: Source 1 (exact) + Source 2 (ukspacetech). Node from Source 2. Address from Source 1. | Defence review: Earth observation data validation specialist providing remote sensing science, coastal mapping, environmental monitoring, and ground segment algorithm development.",2026-07-23,CH_BULK+UKSPACETECH,exact,High,,Reviewed,Manually reviewed,No,,,,,,,,,,,,,,,,,,,
Assimila,ASSIMILA LIMITED,05967399,Private Limited Company,United Kingdom,16/10/2006,http://business.data.gov.uk/id/company/05967399,N7,Data Processing and Analytics,Downstream,N9,Yes,"Category spans three nodes. N7 (data processing, algorithm development, analytics platforms): ARGANS, Assimila, Earth Blox, Earth-i, Earthwave, isardSAT, Pixalytics. N8 (end-user applications built on EO data): Asterra, ChAI, Climate X, Ecometrica, Gentian, Geospatial Insight, Hummingbird Technologies, McKenzie Intelligence, Omanos Analytics, OpenWeather, PlanetWatchers, PowerMarket, Resilience Constellation, Rezatec, Satsense, Spottitt, Sylvera, Terrabotics. Additionally four firms operate their own satellite constellations making them N6 primary with N7 secondary: ICEYE (operates SAR constellation), Satellite Vu (operates HotSat thermal EO constellation), Spire Global (operates LEO constellation for weather/AIS/ADS-B), Horizon Technologies (operates AMBER constellation for MDA). Albora Technologies is N8 (geolocation service — end-user). Review every firm description individually to assign node.",72190 - Other research and experimental development on natural sciences and engineering | nan | nan | nan,72190.0,72190 - Other research and experimental development on natural sciences and engineering,Medium,Tier 3,OECD/BEA/ESA/Eurostat/JRC (2023) Table 4: NACE 72.19 other R&D on natural sciences and engineering — CPA 72.19.13 research in physical sciences including space research.,Downstream services for earth observation,No,https://assimila.earth,"Reading-based environmental EO firm operating the Assimila Data Cube, fusing satellite, model, and ground data for greenhouse gas, land, and peatland monitoring.",Reading,Earth Observation & Geospatial,ENTERPRISE CENTRE UNIVERSITY OF READING EARLEY GATE,WHITEKNIGHTS ROAD,READING,BERKSHIRE,ENGLAND,RG6 6BU,Yes,Yes,,,Yes,,No,,,"Matched: Source 1 (exact) + Source 2 (ukspacetech). Node from Source 2. Address from Source 1. | Defence review: Environmental data consultancy providing satellite EO data integration, biophysical modeling, and climate-risk forecasting platforms.",2026-07-23,CH_BULK+UKSPACETECH,exact,High,,Reviewed,Manually reviewed,No,,,,,,,,,,,,,,,,,,,
Asterra,,,,,,,N7,Data Processing and Analytics,Downstream,N8,Yes,"Category spans three nodes. N7 (data processing, algorithm development, analytics platforms): ARGANS, Assimila, Earth Blox, Earth-i, Earthwave, isardSAT, Pixalytics. N8 (end-user applications built on EO data): Asterra, ChAI, Climate X, Ecometrica, Gentian, Geospatial Insight, Hummingbird Technologies, McKenzie Intelligence, Omanos Analytics, OpenWeather, PlanetWatchers, PowerMarket, Resilience Constellation, Rezatec, Satsense, Spottitt, Sylvera, Terrabotics. Additionally four firms operate their own satellite constellations making them N6 primary with N7 secondary: ICEYE (operates SAR constellation), Satellite Vu (operates HotSat thermal EO constellation), Spire Global (operates LEO constellation for weather/AIS/ADS-B), Horizon Technologies (operates AMBER constellation for MDA). Albora Technologies is N8 (geolocation service — end-user). Review every firm description individually to assign node.",,,,,,,Downstream services for earth observation,,https://asterra.io,"Provider of satellite-derived subsurface intelligence using L-band SAR, used by water utilities to detect leaks and assess buried infrastructure.",,Earth Observation & Geospatial,,,,,United Kingdom,,No,Yes,,,Yes,,No,,,"Source 2 only (ukspacetech). Not found in CH Bulk — may use different legal name. CH number to be found at Stage 3 via API search. | Defence review: Processes Synthetic Aperture Radar (SAR) satellite data to detect underground water leaks, soil moisture levels, and civil infrastructure instability.",2026-07-23,UKSPACETECH,no_match,Medium,,Reviewed,Manually reviewed,No,,,,,,,,,,,,,,,,,,,
ChAI,,,,,,,N7,Data Processing and Analytics,Downstream,N8,Yes,"Category spans three nodes. N7 (data processing, algorithm development, analytics platforms): ARGANS, Assimila, Earth Blox, Earth-i, Earthwave, isardSAT, Pixalytics. N8 (end-user applications built on EO data): Asterra, ChAI, Climate X, Ecometrica, Gentian, Geospatial Insight, Hummingbird Technologies, McKenzie Intelligence, Omanos Analytics, OpenWeather, PlanetWatchers, PowerMarket, Resilience Constellation, Rezatec, Satsense, Spottitt, Sylvera, Terrabotics. Additionally four firms operate their own satellite constellations making them N6 primary with N7 secondary: ICEYE (operates SAR constellation), Satellite Vu (operates HotSat thermal EO constellation), Spire Global (operates LEO constellation for weather/AIS/ADS-B), Horizon Technologies (operates AMBER constellation for MDA). Albora Technologies is N8 (geolocation service — end-user). Review every firm description individually to assign node.",,,,,,,Downstream services for earth observation,,https://chaipredict.com,"Predicts commodity prices using AI applied to alternative data, including satellite imagery, to help manufacturers manage price volatility.",,Earth Observation & Geospatial,,,,,United Kingdom,,No,Yes,,,Yes,,No,,,"Source 2 only (ukspacetech). Not found in CH Bulk — may use different legal name. CH number to be found at Stage 3 via API search. | Defence review: Commodity market intelligence platform using satellite EO imagery, AI, and market data to forecast global commodity price fluctuations.",2026-07-23,UKSPACETECH,no_match,Medium,,Reviewed,Manually reviewed,No,,,,,,,,,,,,,,,,,,,
Climate X,,,,,,,N7,Data Processing and Analytics,Downstream,N8,Yes,"Category spans three nodes. N7 (data processing, algorithm development, analytics platforms): ARGANS, Assimila, Earth Blox, Earth-i, Earthwave, isardSAT, Pixalytics. N8 (end-user applications built on EO data): Asterra, ChAI, Climate X, Ecometrica, Gentian, Geospatial Insight, Hummingbird Technologies, McKenzie Intelligence, Omanos Analytics, OpenWeather, PlanetWatchers, PowerMarket, Resilience Constellation, Rezatec, Satsense, Spottitt, Sylvera, Terrabotics. Additionally four firms operate their own satellite constellations making them N6 primary with N7 secondary: ICEYE (operates SAR constellation), Satellite Vu (operates HotSat thermal EO constellation), Spire Global (operates LEO constellation for weather/AIS/ADS-B), Horizon Technologies (operates AMBER constellation for MDA). Albora Technologies is N8 (geolocation service — end-user). Review every firm description individually to assign node.",,,,,,,Downstream services for earth observation,,https://climate-x.com,London-based climate-risk analytics platform using satellite EO and hazard models to score physical climate risk across global asset portfolios.,London,Earth Observation & Geospatial,,,London,,United Kingdom,,No,Yes,,,Yes,,No,,,"Source 2 only (ukspacetech). Not found in CH Bulk — may use different legal name. CH number to be found at Stage 3 via API search. | Defence review: Climate risk analytics platform combining satellite Earth observation, climate models, and asset data to predict physical risk for financial institutions.",2026-07-23,UKSPACETECH,no_match,Medium,,Reviewed,Manually reviewed,No,,,,,,,,,,,,,,,,,,,
